"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"4","","1","","59","8","","0"
"0","","1","Login Tests","9","0","User Authentication","0"
"2","","0","Profile Management Tests","0","2","User Profile Functionality","0"
"0","","10","Offer Management Tests","0","0","Offer CRUD Operations","0"
"0","","1","Authentication Tests","0","0","User Logout Functionality","0"
"1","","0","Reporting Tests","0","0","Reporting Dashboard Functionality","0"
"0","","0","Dashboard Tests","1","0","API Functionality","0"
"0","","0","Reporting API Tests","2","0","Reporting API Functionality","0"
"2","","0","Destination Management Tests","0","0","Advertiser Destination Functionality","0"
"1","","0","Advertiser Management Tests","0","0","Advertiser Table Functionality","0"
